Scene,Setup,TableSize,Time_Seconds
office0,A,13,680.0092
office0,A,14,717.7414
office0,A,15,713.7590
office0,A,16,676.6383
office0,A,17,691.7015
office0,A,18,722.2370
office0,A,19,714.7946
office0,A,20,756.1355
office0,A,21,772.6496
office0,A,22,815.8249
office0,A,23,928.1781
office0,A,24,1072.3048
office0,D,13,713.9674
office0,D,14,701.7623
office0,D,15,688.8348
office0,D,16,709.9364
office0,D,17,746.5036
office0,D,18,698.9554
office0,D,19,733.7530
office0,D,20,758.7749
office0,D,21,775.2628
office0,D,22,815.4920
office0,D,23,931.8171
office0,D,24,1090.1727
office1,A,13,653.8057
office1,A,14,654.5760
office1,A,15,648.9632
office1,A,16,653.3745
office1,A,17,674.0360
office1,A,18,692.0705
office1,A,19,669.9316
office1,A,20,684.3372
office1,A,21,724.1765
office1,A,22,750.5466
office1,A,23,813.3188
office1,A,24,914.7941
office1,D,13,670.1338
office1,D,14,674.8520
office1,D,15,670.0660
office1,D,16,663.0648
office1,D,17,683.7741
office1,D,18,655.6820
office1,D,19,717.9878
office1,D,20,711.7134
office1,D,21,695.4805
office1,D,22,767.4163
office1,D,23,845.4550
office1,D,24,898.5703
office2,A,13,679.3799
office2,A,14,732.7788
office2,A,15,724.6393
office2,A,16,717.4216
office2,A,17,677.3116
office2,A,18,680.3269
office2,A,19,696.6642
office2,A,20,762.7240
office2,A,21,753.9554
office2,A,22,830.9998
office2,A,23,1005.2649
office2,A,24,1263.8851
office2,D,13,686.8176
office2,D,14,696.3262
office2,D,15,718.5074
office2,D,16,693.2350
office2,D,17,739.9563
office2,D,18,691.1343
office2,D,19,729.8613
office2,D,20,739.5731
office2,D,21,767.5668
office2,D,22,861.3714
office2,D,23,986.8032
office2,D,24,1188.3552
office3,A,13,719.3471
office3,A,14,703.1044
office3,A,15,713.0947
office3,A,16,702.1847
office3,A,17,703.5258
office3,A,18,718.0989
office3,A,19,741.3309
office3,A,20,778.3850
office3,A,21,788.9753
office3,A,22,903.5022
office3,A,23,1040.6493
office3,A,24,1341.6401
office3,D,13,738.3538
office3,D,14,769.5524
office3,D,15,733.0633
office3,D,16,770.8746
office3,D,17,753.5316
office3,D,18,766.0458
office3,D,19,743.5008
office3,D,20,775.9166
office3,D,21,813.0886
office3,D,22,864.8952
office3,D,23,1057.2111
office3,D,24,1298.4035
office4,A,13,677.2953
office4,A,14,646.5682
office4,A,15,689.5783
office4,A,16,664.6680
office4,A,17,664.6551
office4,A,18,684.1152
office4,A,19,684.3216
office4,A,20,688.1776
office4,A,21,714.6078
office4,A,22,778.8001
office4,A,23,904.6492
office4,A,24,1095.6988
office4,D,13,692.8618
office4,D,14,713.3047
office4,D,15,675.3245
office4,D,16,701.0700
office4,D,17,682.0487
office4,D,18,683.4765
office4,D,19,661.1871
office4,D,20,702.4472
office4,D,21,743.1162
office4,D,22,802.5297
office4,D,23,893.8579
office4,D,24,1059.3746
room0,A,13,650.0904
room0,A,14,645.5242
room0,A,15,689.7940
room0,A,16,651.6226
room0,A,17,682.4864
room0,A,18,671.7131
room0,A,19,663.1749
room0,A,20,689.6544
room0,A,21,714.2403
room0,A,22,818.8737
room0,A,23,950.7976
room0,A,24,1193.6907
room0,D,13,705.3155
room0,D,14,662.2922
room0,D,15,681.6085
room0,D,16,656.7087
room0,D,17,683.3604
room0,D,18,678.6081
room0,D,19,687.9056
room0,D,20,704.3406
room0,D,21,754.2535
room0,D,22,801.9202
room0,D,23,927.9792
room0,D,24,1126.2626
room1,A,13,674.4631
room1,A,14,671.8471
room1,A,15,674.6315
room1,A,16,665.9567
room1,A,17,679.9061
room1,A,18,690.7479
room1,A,19,701.5924
room1,A,20,709.6683
room1,A,21,703.6443
room1,A,22,796.8855
room1,A,23,905.6979
room1,A,24,1095.7127
room1,D,13,675.8922
room1,D,14,667.9480
room1,D,15,646.6278
room1,D,16,693.2051
room1,D,17,698.4650
room1,D,18,662.8811
room1,D,19,712.0141
room1,D,20,706.3183
room1,D,21,752.7701
room1,D,22,778.8911
room1,D,23,911.6000
room1,D,24,1047.8957
room2,A,13,677.4882
room2,A,14,669.6182
room2,A,15,651.3615
room2,A,16,677.8228
room2,A,17,683.2512
room2,A,18,676.8607
room2,A,19,684.2685
room2,A,20,686.3497
room2,A,21,729.7354
room2,A,22,779.8426
room2,A,23,911.2473
room2,A,24,1088.7101
room2,D,13,653.4874
room2,D,14,659.6605
room2,D,15,697.8500
room2,D,16,686.2169
room2,D,17,663.3771
room2,D,18,706.2276
room2,D,19,703.8256
room2,D,20,735.6043
room2,D,21,751.9098
room2,D,22,811.4603
room2,D,23,921.4232
room2,D,24,1068.0305
